RESIDENTIAL SALES - ,,,,,
Component Description,EffDate,Rate,Rate Determinant,Percent,Location
CCRA,2025-01-01,0.01704,per therm,,
Conservation Cost Recovery Charge,2025-01-01,0.03407,per therm,,
Cost of Gas,2024-01-01,0.60061,per therm,,
Delivery Charge,2023-02-01,0.28093,per therm,,
February 2021 Weather Event Gas Cost Recovery,2025-05-01,0.09831,per therm,,
Interim Surcharge on the Monthly Basic Charge and the Delivery Charge per therm,2025-01-01,,,12.85,
Basic Charge,2021-06-01,9.5,per month,,
Franchise Fee,2025-01-01,3,per month,,Afton
Franchise Fee,2014-05-10,,,5,Alexandria
Franchise Fee,2020-01-01,3.48,per month,,Anoka
Franchise Fee,2016-09-01,2,per month,,Baxter
Franchise Fee,2015-03-01,3,per month,,Benson
Franchise Fee,2014-10-01,4,per month,,Big Lake
Franchise Fee,2003-12-01,2,per month,,Blue Earth
Franchise Fee,2020-01-01,1.66,per month,,Brooklyn Center
Franchise Fee,2016-03-01,7,per month,,Brooklyn Park
Franchise Fee,2020-09-01,4,per month,,Burnsville
Franchise Fee,2016-05-01,4,per month,,Centerville
Franchise Fee,2021-04-01,3.98,per month,,Champlin
Franchise Fee,2020-02-01,5,per month,,Chanhassen
Franchise Fee,2014-08-01,2.7,per month,,Chaska
Franchise Fee,1992-01-01,,,4,Coon Rapids
Franchise Fee,2023-10-31,,,3.75,Cottage Grove
Franchise Fee,2020-01-01,4,per month,,Dayton
Franchise Fee,2024-01-01,5,per month,,Deephaven
Franchise Fee,2012-10-01,0.5,per month,,Eagle Lake
Franchise Fee,2023-05-01,6.5,per month,,Eden Prairie
Franchise Fee,2024-01-01,3.55,per month,,Edina
Franchise Fee,2013-07-01,4,per month,,Elk River
Franchise Fee,2013-07-13,2.5,per month,,Excelsior
Franchise Fee,2018-04-01,6,per month,,Golden Valley
Franchise Fee,2005-03-31,,,5,Granite Falls
Franchise Fee,2024-03-01,,,5,Hopkins
Franchise Fee,2016-01-01,5,per month,,Isanti
Franchise Fee,2015-08-01,2.7,per month,,Janesville
Franchise Fee,2003-08-01,,,5,Lake Crystal
Franchise Fee,2017-03-01,4,per month,,Lexington
Franchise Fee,2004-01-01,1,per month,,Little Falls
Franchise Fee,2021-01-01,4,per month,,Long Lake
Franchise Fee,2007-01-01,1,per month,,Long Prairie
Franchise Fee,2019-01-01,3.5,per month,,Luverne
Franchise Fee,2021-04-01,4,per month,,Madelia
Franchise Fee,2015-02-01,1,per month,,Mankato
Franchise Fee,2020-05-01,,,3,Medford
Franchise Fee,2015-01-01,,,5,Melrose
Franchise Fee,2024-01-01,,,6,Minneapolis
Franchise Fee,2019-01-01,4.5,per month,,Minnetonka
Franchise Fee,2004-07-01,2,per month,,Morris
Franchise Fee,2024-07-01,4,per month,,Mound
Franchise Fee,2019-01-01,,,4,Mounds View
Franchise Fee,2017-01-01,3,per month,,New Hope
Franchise Fee,2008-06-01,1,per month,,North Mankato
Franchise Fee,2024-02-05,,,3,Oakdale
Franchise Fee,2012-03-01,,,2,Osseo
Franchise Fee,2003-01-01,,,1.75,Owatonna
Franchise Fee,2024-03-11,3.53,per month,,Plymouth
Franchise Fee,2019-02-15,1.5,per month,,Princeton
Franchise Fee,2024-01-01,5.1,per month,,Richfield
Franchise Fee,2013-05-01,1,per month,,Richmond
Franchise Fee,2019-06-01,,,5,Robbinsdale
Franchise Fee,2016-01-01,4,per month,,Rogers
Franchise Fee,2012-07-01,,,3,Sauk Centre
Franchise Fee,2017-01-01,,,3,Shakopee
Franchise Fee,2018-03-01,4,per month,,Shorewood
Franchise Fee,1998-01-01,,,2,Sleepy Eye
Franchise Fee,2015-04-01,0.58,per month,,Spring Lake Park
Franchise Fee,2010-01-03,3,per month,,St. Augusta
Franchise Fee,2021-06-01,1,per month,,St. Joseph
Franchise Fee,2021-06-01,6.75,per month,,St. Louis Park
Franchise Fee,2017-02-01,3,per month,,Victoria
Franchise Fee,2010-09-01,1.4,per month,,Waseca
Franchise Fee,2011-12-01,1.5,per month,,Winnebago
Franchise Fee,2012-04-01,2,per month,,Winsted
Franchise Fee,2020-09-01,3,per month,,Zimmerman
Franchise Fee,2024-01-01,5.95,per month,,Bloomington
Franchise Fee,2025-01-01,5.6,per month,,Prior Lake
Franchise Fee,2022-01-01,1.75,per month,,Woodbury
Franchise Fee,2022-10-01,4,per month,,Otsego
Franchise Fee,2022-11-01,,,5,Albertville
Franchise Fee,2023-06-01,1.85,per month,,Eagan
Franchise Fee,2025-04-01,6,per month,,Lakeville
Franchise Fee,2025-01-01,,,5.5,Springfield
Franchise Fee,2025-01-01,5,per month,,Willmar
Franchise Fee,2025-06-01,2,per month,,Lake Elmo
